days,valus,params,countrycode,SRC
42.9467,-91.7321,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
43.0571,-92.7832,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.06897,2.09693,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.27586,1.22591,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.68966,1.6722,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.96552,0.802616,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
2.24138,0.370699,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
2.58621,0.377886,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
2.93103,0.385073,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
3.27586,-0.483072,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
3.68966,-0.474448,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
4.17241,-0.464387,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
4.65517,0.421006,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
5.13793,0.431067,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
5.48276,2.62658,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
5.48276,1.31359,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
5.75862,1.757,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
6.10345,1.76419,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
6.37931,2.64527,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
6.7931,3.52922,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
6.93103,5.28276,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.2069,7.03917,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.41379,8.35648,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.48276,10.1086,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.48276,12.2969,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
